District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dhule,386987.9665618244,402272.06779906474,412981.46906665544,507790.86229538015,516326.373474922,594347.1951011205,527663.1331622441,491320.4474457313,529254.9592572753,562979.7862502898,547395.7768933582,515943.70253090793,541177.6167988979,549728.6500761239,377294.7661134997,460113.9187275343,405004.12110430206,474676.4537063325,414293.55316900514,532570.7749003445,457820.5844963516,450428.78745833365,806873.8841958614,1032056.1445216233,902275.342216814,944473.3563734051,1052581.440606076,1085384.9053070368,1080530.6687193385,983413.0926535595,1031965.6153320577
Garhchiroli,166709.90465168294,575609.7953350213,505812.0353996208,249146.78921746273,226453.9031314366,245154.07588491216,345141.75260757055,233854.068977026,400284.72364469647,356014.5303646941,352833.96207612194,949850.2494430155,335099.0485301143,385399.0430502238,230775.97121357513,341487.1983170274,335072.628209088,246815.3211276353,250943.47843644823,390983.5604297346,298980.8192958168,351048.54378765175,1189414.581471414,1069142.9803013373,952470.8561822114,1222959.1679886645,1258301.9947532287,1187671.5424790953,983299.8627063041,1176548.0762918002,1287040.2311192034
Gondiya,763935.4543866449,228926.09670135367,215688.03748970057,227190.213428451,225000.59974424323,236714.48950093228,345612.682469829,241625.8262726797,299455.739551522,234027.91232480257,296043.85124819906,230881.15961945264,303844.49918070086,295129.7394450259,351078.73844025325,355438.3069688229,305853.3786533959,301015.7488577515,344888.69810170407,345867.8960131095,375245.19551808946,352515.91771271935,530898.7931651562,573464.4328013092,512490.2599904461,574850.2888862,585751.0191426502,615777.840175984,585575.9975866693,585837.3550130987,630136.9678839612
Hingoli,350626.8887659928,352866.93054921133,315192.27130188857,381666.5726323694,372615.84709856287,299086.50057992194,396455.18097099726,368144.2620376144,408857.0843598162,401584.390307915,389813.1584632725,380370.61755288666,375354.6511337697,358632.221109939,353987.05303887,372170.74125072634,376843.66063246405,353485.81989413983,367330.7352744424,414208.8597664793,439543.93161765084,398364.3259375778,566695.9453579715,586257.9304654456,573055.5670684124,614004.4510133425,641802.7240807167,697909.7007178155,746492.086910238,847021.2897748594,846703.2168467442
Jalgaon,716523.65089908,764731.4633424209,711793.2679978082,1050016.0985591684,949396.8701364602,920175.934605515,963904.4686824338,1015148.5145170962,981287.8956430949,982274.6111684637,1038556.1900545144,1085638.2353072218,1029129.8766076037,954465.071088112,831622.2109602053,987396.1194053902,930047.4134442933,1087161.8308963124,914311.0179033895,1057451.4392222632,1020455.9435946866,858615.9627587962,1149776.1450688231,1173366.3147739214,1196200.0698175721,1291142.7049622415,1558147.7192411798,1378628.554382037,1379285.2880761188,1596243.4892112054,1839839.9484171495
Jalna,371183.20290156157,451266.0319905347,371869.74946385884,512486.48565887084,554194.7095786504,451867.39952565916,566035.1461988109,563209.4488789582,571394.0328338793,579591.4435112922,595337.891943886,586886.0515419345,562868.2136983481,508373.7413251223,358385.7550792591,574630.7807044197,543944.2933366084,572965.7579117365,530358.2162632467,686532.2257256715,715118.3790092088,572856.9439241877,1007229.3151651345,910109.3696037745,897907.0120628471,1080909.7633988934,1067237.0238949999,1032019.6585047558,991208.6825969437,1051761.1899127706,1197314.20567246
Kolhapur,554346.5497091011,564290.9415773964,522265.74073462776,618478.2805078379,636501.4997046599,597513.3014097078,767047.6713627516,825172.106492635,899513.2651178978,952696.7720781068,894736.8000334204,904509.466470683,843825.5509498807,787121.7913832599,761921.5174429485,933977.337825927,941609.6709966433,1098815.0368864166,959309.2885121554,955809.1830293043,1084975.2954801938,1655219.047348983,801931.2788926052,835027.6426987083,921051.7497427547,946124.9328434266,1244984.4501826826,1031204.1102121145,1063223.8709691435,1005407.2120725786,1087464.2787315203
Latur,366325.76696678746,443347.75581278844,529913.6417064577,544140.5228074252,575235.8482935446,564965.1480466867,701542.5437609794,573725.801097549,614447.7701319843,641361.3908804319,630658.822225262,679299.1268502524,621185.0700858557,575747.997945628,438928.36393974704,640258.6480259306,627887.1390335503,614586.2867502561,576307.8125286112,627706.005008717,814800.6667858547,673567.9449353168,809754.9028072926,998047.95320435,909341.02172386,968994.5105234316,1212932.9392751965,1033578.8570157025,1069854.7683510808,1039646.6339831772,1126956.720817195
Mumbai City,193280.94451015396,226246.15829648334,204220.73302146155,202833.2930652985,204911.74513619693,205948.8481568003,192083.88125161163,191922.79526216057,209807.92772276243,192337.14849698837,224494.15929115927,192337.14849698837,173123.86148781722,163312.72808762782,263854.95682123915,190356.4500592423,207996.51985117942,161723.3032396382,161242.2533176297,197324.32438294232,220552.22987434143,208248.47163260053,220574.87586379252,220559.7785374918,204719.41166702248,204719.41166702248,204362.7737817658,205187.67759259572,191926.56959373574,205166.50978015424,204560.86635534978
Mumbai Suburban,395822.8374549447,409346.60494075663,395113.8259572338,413106.02200863644,413879.34789906436,411957.2363115764,413971.68900708697,418561.0595393895,416462.9682651277,416258.95237821667,421511.610075704,416232.5320571904,411908.17000109906,417132.49677610275,416258.95237821667,409131.8022290173,416145.7224309612,419681.05166337645,414376.47705454513,451094.88131046953,457711.1288806712,474784.19051083014,453717.5357801467,451878.7225203847,482494.16357245157,483584.1301086675,448207.9145639751,442113.05360881466,449110.9968043217,457722.45187539683,441371.26941978675
Nagpur,585621.2895655715,624128.0113243777,597343.4564888244,830545.3065346634,862350.029452707,809588.4103535811,908084.8500744927,909406.6904374721,1092873.4295218189,953316.2769223728,987701.6197571745,963773.362700535,1162962.5444014613,961613.5886757011,978343.9785999091,1017891.7801308314,1177802.2419652268,1180825.0062190958,1175877.4996278454,1100409.7700864526,1159215.2102976486,1190464.7785292906,1290005.5390178857,1470722.106304245,1509841.726821564,1577970.3519156687,1519670.0813010354,2977551.9702337086,1835175.675401366,2286044.00139218,2718611.1012794753
Nanded,447314.7818418912,565334.5586691367,861797.8060187768,577127.924020914,630530.1618453712,543944.2933366084,726676.9390368005,673940.3178162166,740126.9498256552,680716.7846696392,755460.5616514976,657209.975376038,681166.4316374942,618720.8696597983,535692.552437114,705007.5488314987,813547.553309342,630202.5624018711,626798.0711001238,821382.2248460194,952582.2479279949,839274.7663894383,1046360.3016314674,1091029.3994363165,1070139.9948150923,1161689.5487079003,1143389.2421082312,1240033.512192052,1290182.9326019194,1381732.3324772948,1604622.8332167675
Nandurbar,295610.2511301287,299302.8978325175,316560.63073185534,372776.6393645559,375514.0505267543,381695.39605809376,382734.3733623731,389779.18947909586,403430.14945866726,386938.90025134705,386222.77874020516,379521.10505033826,406407.67698670103,398164.88853344857,289947.2909490951,384177.00460961304,367927.2301517177,377019.23990851146,368226.80747486866,440753.6844209481,406360.9609466871,373098.693675481,618459.4088499619,641839.4583544538,625266.2245034581,822461.5817088919,939364.4372666242,845588.5816149398,778526.7234757942,939523.2902188065,906444.946755594
Nashik,984326.3903532425,996435.7990434365,1170433.9573939508,1140421.8360728638,1180685.8520822339,1396098.2586011623,1281079.1838187368,1361968.384938636,1393654.586631848,1398693.007838749,1382432.1748808336,1274995.3757946414,1510838.4914072242,1141055.1834435358,1070971.7653362663,1177095.0888610564,1131664.8426428586,1140595.455325322,1140184.5791360363,1283879.2285991025,1433015.2858800075,1280497.0266526407,3051061.3529530414,2600125.348552357,2638234.9438886717,3367977.3521464914,4553727.3623287,4907112.135105864,5109218.546813718,5139258.451820598,5580900.324731034
Osmanabad,369907.3671167957,412487.955053343,484762.98897997494,507347.6491786065,542663.6964761977,598422.695812177,576262.5451482788,575810.1841549291,569210.0962257312,625854.2504583993,585810.9346920726,582314.4234544919,563963.5319033364,526949.8910122733,438273.0908525716,578081.4197091395,614380.0307114795,572857.3313700963,561079.7957025275,625153.4190803759,854367.3772955337,619410.7590834283,838759.4587419769,954917.8617606899,833942.1785823809,987288.1715447445,954495.2657407135,944403.3151366672,1163075.7743487167,1030694.5754494648,1106766.759740796
Palghar,349762.8514743003,394679.76513178693,386342.91439953767,462263.3913891444,442655.6211585454,595911.1499365115,573743.7333378728,568098.3689752708,580081.4020372309,570846.960746002,589077.8666686566,575186.7819830673,573104.2680984413,570376.8100616086,555361.6393299167,580211.8193230069,561057.1497130764,573907.285932046,576876.4107204931,702554.2870657546,898546.1084759779,733078.281934727,987468.7906066274,995681.1262386944,909108.5182430326,1229149.713591376,1093237.9961816475,1034557.1232506825,944559.5484381529,1032569.5083840871,1073487.7002504258
Parbhani,299383.1246688049,390367.9852048243,371491.81629889546,435087.5954497933,448989.8286217025,448185.26857452403,508056.9023230485,501543.9105540565,568392.622464961,542678.7938024984,566924.646421499,570819.1116002285,529854.1486679673,431707.03740656684,372679.3493682027,519883.3630109637,573918.4701894993,531950.8899314111,516001.05044195754,570050.5263521593,587027.8254780505,616963.0113219492,813569.6253124326,794968.7453578534,825258.9161188643,1025886.1768839522,1935270.0927755674,1104985.5162762862,1024853.0135209141,1295727.8182304783,1028752.4434500855
Pune,1137781.7569807724,1175396.9051613698,1173075.6912426322,1380921.9001998547,1596411.1007931132,1891891.4512028669,3050200.8053539,2584365.1717350646,2711933.506344087,2983774.756271335,2857204.084655179,2756891.041776772,3367541.0604512873,2946872.8022292187,3052940.970077483,3606251.6399922557,3712522.958599642,4553919.843508638,4553225.3762292005,4988326.30000053,5525791.309401791,5735913.83457129,5118129.743662725,5732917.015300595,5531014.984301844,5639176.004251856,5683554.594912856,5871395.528746553,5889606.6785968095,5933264.371926948,6105958.913149436
Raigarh,573324.7825330275,660953.849455827,632663.6690904982,869446.8742729132,841422.6143226287,841615.7316003012,1055279.1795189055,1935266.3184439922,944260.4907503445,966396.0582764931,942335.9465143392,980638.9120360609,1212448.335112056,807280.9087962994,636549.385281867,954921.6360922651,942794.8819468081,1212714.0280438357,954276.6086791685,1015246.6471380509,1032003.3586478097,1032761.9992944213,1052118.4421415247,1123581.5333921302,1051657.43570992,1159655.1839888766,1225161.7319023807,1288089.4952971041,1187399.7906056822,1507835.9832857156,1401127.2213944246
Ratnagiri,232452.78624077784,345590.0364803779,472641.8146091847,371865.24584182905,372021.9796417618,365946.31968552136,530751.6222910291,532137.8770245038,524788.1644378781,567192.5269291289,569296.1791719266,461835.032253511,539103.9448467392,551440.7036216408,403246.25450203783,535174.8484321384,515911.52790608926,525157.5559107643,527038.9930080543,549177.7764257641,582281.7548521197,585626.1544025905,563723.2650852291,834148.9660039725,595071.8709470109,939481.7725714793,906722.7913153557,897165.5094933179,688696.6341970466,681310.928013839,954797.083150284
Sangli,534647.85661038,573309.6852067268,621949.4152514712,670945.893613259,735291.3808148758,633060.3782605514,807273.3601331491,934845.72623854,910064.0776248723,952141.6830182495,946206.739537879,829367.8645903374,1060902.0902294887,784191.4151993772,686868.0886448963,773662.129509631,761465.0941242544,835596.5182412019,781410.9488553604,947131.7709555916,1012517.9833820759,1033688.3126313827,949827.3470636808,961768.3170816483,1005945.2368105017,1032618.4885950586,1064049.9431537418,1136945.0442716049,1146368.6556765968,1146989.1226311985,1195868.187783421
Satara,569527.0926488461,635085.8698458914,583584.6245447656,826677.6306399141,783129.4783732314,814808.215449005,947638.4952945691,1071291.3636487422,983160.2124380223,1069937.803645735,982319.9041595251,952408.6286755366,893214.0648583235,810466.9760002611,727752.6348782195,835613.275876629,838677.5088926182,949816.0240689552,947596.9776472421,1032476.7428095647,1087248.256488818,1061565.9358316644,996273.5027857035,1061411.188237082,1034046.7216641214,1161895.135004972,1143426.985423983,1220937.141090843,1184414.038342772,1298619.2793314427,1361614.1878843673
Sindhudurg,156275.4823843928,229328.2870486046,228939.4756646337,238498.56880060385,260062.0659757997,249146.78921746273,382790.62104749336,341924.58811331866,369238.919873162,371665.4355513538,358824.287584454,372156.59866357275,373084.0404322825,369835.65481686726,296385.6858706491,365833.08973826584,305977.7155694464,353587.2686221893,314836.7383538437,368405.03458737145,373110.01667020656,398341.6799481267,370991.63312206,387143.58291430416,384920.8574947173,534606.3389630531,565296.7276771164,573163.052227686,514692.05575440143,516458.4750800533,572829.1071739014
Solapur,758125.8629602493,938403.6120727068,958382.5062758174,945771.1274204779,1083632.1848637685,1138771.8557384408,1164582.5405039291,1149881.826352928,1207855.1807755611,1319712.1724639374,1247222.1063940618,1213365.701576547,1221313.787301189,1127656.4326836646,1030472.6796642464,1174921.3393828967,1213737.3896834438,1271385.9661734349,1219512.2622055344,1596613.3737055734,2283624.6548524876,1682430.5232227817,3025941.478487776,2710735.078301504,2727602.863153544,3059000.836901546,3337209.4193586297,5121360.571491081,5135272.757677205,5122560.80893199,5559873.523525692
Thane,573404.0434961063,575341.7961654045,701568.9640820058,735253.6374991242,729164.0400895355,676563.343742234,808605.6353779581,1041827.9534895704,1191103.3506767664,1152367.155813099,1411770.9477201693,1225962.928546898,1148848.4796375646,1620356.4622786287,1879422.9846541614,1752593.2450850755,1686126.8710121417,1859447.799696286,1935353.1280702213,1500488.7653123492,3081041.072999127,2740815.7675280194,1042525.1227727956,1043554.1938597093,1039710.7976199553,1064695.0945947918,1125114.8470085056,1145742.1166351165,1137476.0361231826,1144183.3119050853,1214556.4196352584
Wardha,288391.29595230723,366885.5446091601,304078.50773836224,396710.4059815313,410170.62649628933,390424.60017845203,471807.3505581962,411021.22306290176,504296.72542475135,527272.2410662636,548511.3588639804,469550.3935349206,513662.591304749,417064.5588077495,358651.0927678148,508080.9722187769,526208.3769706677,394907.875845185,412528.70230963407,525982.1300966692,564237.8512612839,566193.6681249685,823616.404163823,926253.6120772852,846942.0288117806,894188.6564756086,1446570.381416643,945574.7951526293,990972.848482558,1079855.1265150327,1029691.3930281835
Washim,248041.8713022732,355077.83810748364,295534.76449862507,367304.3149534161,351943.7497403252,306177.09886495344,399102.7131158463,408832.22692078026,451798.58099990693,412482.90357162216,406967.76097173523,375450.51073090575,377332.5094292516,357891.1852944487,242166.21758906523,374984.76663940185,376711.55902733264,368927.09174735146,369592.9695149345,438151.7763851311,512693.1519008088,414106.95281394926,572893.1966429027,632591.9567905697,583712.3035766827,670489.6395380712,708464.6060504824,765537.675739572,669505.8048854698,898900.895644045,839708.6866698279
Yavatmal,384083.6367596849,483321.47718803847,371266.2381962156,523271.54850356845,571705.6181406899,582388.0484970036,801559.8462218692,704715.8666179907,900693.5827354522,846665.4735309924,902260.2448905134,764594.0679806193,884203.1698664855,760575.1811787719,527610.2925201915,988535.735602897,930119.1257442221,688601.6035971908,837819.51902944,943550.0513138113,1069135.431638187,1030757.1049984928,1240395.8480232696,1290869.8609486027,1281479.2629657062,1705145.4708551231,1365438.2556090902,1521855.455849978,1521787.9766080566,2977623.6825336367,2654858.077142233
Bishnupur,90810.55613888113,101756.04700600066,91713.58182487068,92248.02185633116,92121.5594988856,97842.00567446742,98036.74571940086,91579.83601519588,101712.48200981277,98357.61735744891,105480.85370290426,101688.10903764737,105523.80982011168,101565.5363015927,92240.15892894471,98618.21039609087,96709.86618410777,101125.55693690327,97321.55643564735,102601.0776154117,96763.41673207765,101853.16864018737,207311.44138744663,162989.4104272656,170167.06703045854,160579.88577454968,162760.82566555627,204437.35713268063,196601.73039773433,202291.53891382358,232348.3511721151
Chandel,53449.585250007025,61007.66132613184,61291.218084051005,60357.14442251282,63581.69088963958,59484.57833192332,60357.14442251282,133133.13042578427,68870.13433993146,82719.76587302066,98152.25905014826,59522.94141337314,85360.43042304648,73497.9870620429,62442.88791874148,101198.49089496257,80686.01284849954,60923.498865141504,83805.03027725792,81468.26915236881,78953.71909686404,87905.42316044708,384154.66084763623,239280.38408204724,343726.4263275883,319575.3932204255,385969.63871076214,373264.936358108,303931.30880693,315620.6673311156,317143.937173759
Churachandpur,80927.42663670867,89947.88957195194,79720.128740965,83417.98690247869,85378.93179140003,92263.72528395394,80457.53621651419,86998.05409606222,83200.26266417874,90341.50933617586,91575.42753917503,83541.44040954119,92144.38013770117,83227.52641722653,83487.18962242691,89306.54109594644,79716.35440938982,92312.18549310928,98390.10573296319,91701.29379374441,100094.02320924611,101640.41691451355,295994.7849377216,366081.6457810129,239129.36180591243,316652.3173374054,369888.4954589198,368208.16177447117,356327.5497070442,372765.31636983034,352368.71878128714
Imphal East,105495.951029205,144001.3130006387,126222.28641529723,136840.72394724007,145192.57190969316,148222.18483800508,145985.95990483012,157193.32779322044,137749.9057610941,143139.33190151866,144829.8996216042,129244.81247184197,146677.27869774553,147882.6741657736,124461.94675706884,136459.48136599723,135115.29927618286,143122.7794711394,126275.0277948919,158170.45617390613,168338.62730041434,161882.35948838716,1681397.7305851288,264850.9292637939,247266.13419535043,231212.4197945381,232764.24835726272,244284.2477421748,243418.7518524706,245300.8962730343,228710.61844596497
Imphal West,151308.25566539005,149047.30159126304,303983.5948152713,154082.6861692773,151039.8737055318,163737.85844114606,151063.62816238447,196831.35719243702,198154.47944891383,192787.44444265068,202833.2930652985,161802.35215919712,161613.2953302343,153583.01604222695,172176.56787351964,148519.6852581127,154259.75497755548,164206.69382221968,159987.7580997394,151059.85383080927,163452.1458124142,204612.78126728605,234621.83848993748,265923.58267898764,248114.4353377548,242037.0354025109,239303.03007149833,237423.15485715133,239200.12701813978,240414.29242601874,356018.30469626916
Senapati,78576.45893983428,91888.88922054465,78668.45941544727,80919.87797355831,85360.43042304648,83423.4453303614,95056.9775375405,149609.84927163812,101651.7399092391,96693.32310948063,103126.46130566353,97256.86895632076,91674.87347271813,101800.11709700356,102325.97438320475,115304.23265762377,105229.52850385325,98136.50776008384,102875.85805898382,117075.70331792056,101710.81681269809,113036.61892763346,318971.07892182114,341268.28486834775,349225.56026537734,448158.8482534978,435468.4215633389,468724.54715961654,413855.5151099405,487126.7741158987,447839.554007591
Tamenglong,56398.85728867383,61007.66132613184,58657.44010879781,59053.546376718325,58458.7495343115,61006.766045145756,58429.67974924948,71127.66028492922,58307.3373772701,62405.25723629972,59641.346516810096,58602.674555511534,58572.38712258075,58429.67974924948,60044.394255290455,63251.067564390796,61006.766045145756,62172.707220609656,65426.79362878737,83458.84439646585,84528.15107532158,105963.11905868794,372005.1851044824,419821.1902393316,221164.1094352261,386308.945415361,412021.3999483545,414057.88650347193,370325.3541778298,353493.3685572902,377054.16885288624
Thoubal,83337.29362736296,98525.74158610655,113796.24779520424,103883.84086897959,105482.29217278464,105373.02044435097,106677.03950027475,106018.92038698005,110366.2438482174,106192.124535758,112648.81565266398,101632.86825136318,122354.13385696866,107108.89735230769,102065.00548897841,105292.05426718004,103703.63852072594,101696.93400911475,106851.87892068682,123966.38044447736,113095.40505193527,141259.42075064324,206561.1232978635,161507.26687291905,567043.7171055361,231044.40010068074,231230.55351021048,242676.34463903913,244317.57418424494,244374.198540832,231351.6127376617
Ukhrul,60048.16858686564,60282.42027612283,61393.805222721414,59537.542282513015,60271.09728139727,72234.45663135537,58226.09297813021,90673.18502735555,65236.09668340397,59634.22352418045,60549.546741047416,60900.59339981119,59537.542282513015,63016.356697493095,58657.44010879781,63077.9787830636,82897.32628196354,58307.3373772701,58880.52037160705,59649.32085048119,64571.372380322864,69190.26198862525,371926.3644374867,306162.0015386527,2116736.2451066063,440701.33064671746,455167.83236534754,505723.38505780156,411711.9047591895,449104.4628702656,404054.4866544813
East Garo Hills,133133.13042578427,85378.93179140003,91607.87779351266,91648.08775442325,84117.4903748984,97412.49153330848,88023.47521044042,102643.87168736191,96354.93620652037,91572.96652018819,90776.58715470448,78477.75846457847,96194.14363461891,101695.71948639734,98367.4597435121,105030.72277343499,96200.47128534636,103642.13407465057,195230.52654672266,91353.49889233227,98048.0687141264,102386.071707685,298803.4257117832,316519.1130845283,296984.56271581183,382700.36372740084,371278.0600750072,372243.7607683191,299672.02723945846,376010.07830569916,371513.053642309
East Khasi Hills,144252.80444342727,161208.6830002356,205682.83519752903,232340.80250896476,214381.9168173253,208981.12643097294,200061.85934920268,232018.38760600277,259750.9411000627,193856.98711566583,215193.38663067642,202332.5608818729,231985.8019614867,231284.13209446656,244840.95598408932,246473.8192493207,245051.88722572254,250054.2742145887,262425.86476796935,243433.84917877134,240063.77476776708,237921.85208006986,453713.7614485715,496352.85263305204,413024.9522171137,544764.0883495483,509858.1478960691,576034.3434230182,416548.05607885943,434640.9084965614,465726.4683615684
Jaintia Hills,78625.52525031165,91568.51302047032,95064.52620069087,98359.91108036174,97426.5766212293,101820.83585011563,103945.37457614993,124186.40109142264,106124.7018183618,106284.15424828899,155235.3104477579,103849.87188480295,145718.713705646,146001.05723113086,156308.25239764966,205731.47926756673,197504.08884238303,192375.14748526085,231546.70164085412,231988.7329887212,231389.07543636815,198443.46980260874,469286.0173636463,505757.35404197825,409040.684302104,576038.1177545934,531507.2606195207,537610.612860279,411994.9796273282,468739.64448591723,518633.56073687674
North Garo Hills,71464.13159270947,85360.08986902902,83415.89666721103,92266.36786236544,84054.58912626268,78564.37101589363,78815.13741974813,92129.28281140044,84128.64721848584,83417.98690247869,85386.48045455039,85445.91880958992,91276.6168334125,87434.78054463172,83352.3909536637,90299.56900108437,83447.5214017403,90814.33047045632,97842.00567446742,78602.87926086056,112056.76953806983,78687.3310733232,196328.97204142917,205328.40880321432,215795.88809964547,233704.39643221846,309244.96077417204,299240.8775719356,209022.64407829996,307163.5361850516,308298.2727555028
Ri Bhoi,90580.18532914325,111218.45227612182,115320.60541601323,153209.10482627535,124345.8550249897,105534.43788147131,122247.33829097771,160154.92115582773,143458.41200049064,121702.53693472221,135081.4581585096,112638.63442274184,152602.06004357303,147605.3406540521,161242.2533176297,189891.69898509094,162753.27700240593,216999.4397600506,320131.9535550743,201237.27674353006,702602.6707044599,230164.67882123194,375441.46075999894,386173.0694786545,349634.3684250687,387181.32623005594,390047.16702093376,421241.1171177488,387298.33050888666,378289.710455237,408801.35144180665
South Garo Hills,59653.09518205637,82719.76587302066,83516.45328077422,87894.10016572154,83277.30617479309,101206.03955811293,87905.42316044708,83382.58560626514,82898.23275544924,79712.58007781464,86998.05409606222,83300.53928238791,84237.51022167057,78687.44503101171,82187.47023236098,78996.37601408054,78920.85470725369,84020.14162408252,87427.52034350733,109518.68606692133,88178.74320717355,90672.4896468292,229271.32003092117,247321.77729353562,285789.05404832173,398487.059881521,296771.844928538,351063.7933378229,231089.119096845,444993.6286039132,297082.6953367666
South West Garo Hills,60703.563909608514,90705.64956883772,101232.45987913922,85755.13339346698,60675.181051098254,81410.84600957789,88626.34051375207,82723.54020459585,68959.61376494245,61144.427690367935,64721.34799232132,57204.823638063994,58234.24401705185,59774.90799100039,58217.50498043531,95965.28742530946,84409.62432122296,59566.50113194119,81516.78528645176,59606.322255837375,58255.099082192166,54302.22292177386,157785.8680703782,163923.15913139223,164332.44797674668,202138.24273309173,233339.1469381665,206859.07744581168,206099.14915402234,194235.20282907845,251967.0563589184
South West Khasi Hills,60125.00153055168,62030.71314641377,60489.7207710353,59925.852483329254,61656.598736070824,59644.5857587925,60554.967318789415,132496.9221839488,60549.546741047416,61006.766045145756,62172.707220609656,59348.7318933493,63978.06860855277,64567.59804874767,60554.967318789415,133140.67908893464,59689.03876001813,71127.66028492922,64571.372380322864,60263.54861824691,60357.14442251282,73541.15160997446,231160.83139677346,246833.84737283096,221963.01777408758,249116.59456486127,221167.8837668013,234023.81004772722,239336.999055675,231080.99570933348,237578.41166833916
West Garo Hills,91633.35582539112,127265.63331641594,109656.49424215464,147242.4933297451,104103.76736114889,121817.25743532689,125272.17177759536,151349.3125389678,113040.06363660563,115503.11170172099,115364.15738385169,98044.29438255122,124225.92036608454,123491.60265208641,105429.86074518871,136645.80780692538,149152.0947655092,125198.97388694831,137619.30626183093,105662.39199553798,105483.88554091896,104044.83248430536,367353.32237031683,377652.7549516631,367079.48509358376,444384.78292373853,538721.0367669291,448136.2022640467,351890.9090982727,417588.8880335256,446490.0269379266
West Khasi Hills,63346.40491535529,81851.93442212205,89554.21989310063,90845.39373322566,78556.82235274326,84121.26470647358,84102.71459360431,101317.12486745755,83483.41529085174,80694.2467359019,88435.40798334395,82782.1444242813,92087.76516407343,90559.75400099433,83523.91154555102,90299.56900108437,87500.62110897806,91680.45237896063,105380.56910750135,93768.68029905295,124668.69198906953,120790.06106738927,407114.3765103079,450383.49547943147,373529.05262636254,482925.8962603213,511863.1221725703,448226.78622185107,387162.45457218,378350.09976043995,415057.78828951804
Aizawl,104507.2702901124,105774.77500453434,115925.65081008484,124373.24893521734,122366.82600563503,122363.05167405984,155568.29861044796,157308.51493570404,144905.91905253386,151330.90165484115,155350.58656924008,151729.72395508285,155737.02426332544,146131.4822223401,154170.27433610059,166468.69068329103,149378.8297711738,152497.76500213775,147987.24082954615,154183.96188689655,151304.48133381488,152688.69837484532,366853.0251990727,376891.7879803784,448585.43423013244,376789.0056824253,378502.7403080073,380227.1929530297,313469.6585677839,369468.2149139072,372793.00419938454
Champhai,63710.20271223295,59529.99361936265,59566.50113194119,60900.59339981119,59541.316614088195,59632.55416134049,63077.9787830636,79906.45083876338,73484.68983102993,73510.1350655592,73537.37727839929,68959.61376494245,81060.17061302485,85445.91880958992,62584.03822409341,73537.37727839929,78695.89522923097,69098.81874131203,81468.26915236881,69023.96293563231,81533.49314533621,86226.68726851861,235709.65222084383,295454.58029757236,201469.65859627994,287034.574381663,367387.2913544935,317230.7467999882,234419.11694189534,287273.4519953911,365584.2088396091
Kolasib,58344.948689577024,68861.60644928443,68963.93120411244,101232.45987913922,84399.13085518387,62438.987033368896,101221.13688441367,82756.79202087395,79824.0803395451,101491.51918660954,83468.58171297229,83464.8073813971,90633.3422169502,84128.64721848584,83179.31767476627,96194.14363461891,90530.63576822322,83359.93961681405,87380.06475618918,90694.96883730417,90818.10480203149,87423.45754990618,225108.94124717443,231136.19522083088,198414.74368736785,230900.8049149958,239839.04510915923,242682.891424914,199701.37060476988,229731.3384681955,230419.06389213403
Lawangtlai,59114.703146608554,62174.16379482017,80744.83924581333,63581.69088963958,59925.852483329254,60384.88631827778,61351.64980622788,69676.13928996051,59519.16708179796,60547.41865563905,59634.22352418045,57699.84673340932,61355.424137803064,60570.02171659414,58653.66577722263,133136.90475735944,58255.099082192166,58470.07252903705,58052.76493243065,63706.42838065777,59426.76475594995,59634.22352418045,340906.0738926194,288843.9304012919,204920.8531425153,241098.95258892808,397760.2744171505,231002.12276819695,244832.3758536386,348916.56272425386,311985.7394117585
Lunglei,133133.13042578427,80466.0761600216,78556.82235274326,85896.00044899771,78599.10492928537,87901.6488288719,83229.71639437057,91287.55916710793,78595.3305977102,84740.9290686419,80698.02106747708,73552.98566166809,91274.99960598019,82043.89178615839,73982.81936236094,90299.56900108437,82138.02760540997,85360.43042304648,112052.99520649464,78560.59668431844,80453.761884939,85371.69423380808,368170.41845871933,371179.9274540525,229561.9895402978,371440.35633274005,371461.62164629396,383829.20328424854,245689.65104604393,334997.1415775844,369785.91334975435
Mamit,54186.19153965463,61150.4777971396,58425.9054176743,54692.24056335059,60554.967318789415,59685.26442844293,60271.09728139727,77371.27904077344,62352.78700624896,68861.60644928443,83516.45328077422,60900.59339981119,69510.02314057072,60447.22933203221,58234.24401705185,88213.45025227695,69510.02314057072,68963.93120411244,69510.9827313886,80752.3879089637,59641.772187330826,63494.461749061935,295292.09500658367,296323.4479880435,232666.9801633358,298034.3987786178,320415.6804963673,315609.34433639003,244728.6727419564,370259.92723731865,397338.6254953684
Saiha,59743.650263406154,62174.16379482017,61144.427690367935,61144.427690367935,58011.71773225979,58311.11170884528,61347.87547465269,62568.25905629424,60554.967318789415,59053.546376718325,57608.5634709426,58653.66577722263,59689.03876001813,59537.542282513015,60044.394255290455,71953.89371085318,60547.41865563905,60447.22933203221,61927.110338023725,58429.67974924948,58232.048570671235,59426.76475594995,244694.70375777976,241765.49027843206,196504.40498342094,241880.7275491916,472638.0402776096,221606.56117379633,230369.99758165667,234008.5483883277,251663.26208221284
