Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Begusarai,4750,6380,5668,6367,7037,6202,7593,6935,8184,8444,9686,8785,8420,9743,8542,8554,8847,8487,8987,8972,9790,13913,27567,29337,30122,36351,38175,45365,50877,52648,53189
Bhagalpur,5017,7255,6379,7892,9978,8718,8948,8333,10767,11378,12702,8473,9767,12091,9557,12233,12557,13804,12442,13347,14112,15628,34230,38618,38831,43871,45853,54422,61755,62175,65309
Bhojpur,425,804,835,1391,1495,1464,1990,1806,2593,2628,2411,3089,3159,2811,3772,3184,2920,3209,3949,3239,3606,5996,24956,29831,32112,40109,44659,52071,54303,56402,59294
Buxar,697,1353,1169,1825,1396,1817,2481,1571,2134,2508,2329,2609,2681,1969,2098,2252,1776,2580,4244,3033,2899,4325,17975,19851,20344,24092,26475,33522,34203,36180,39261
Darbhanga,922,1494,1501,2435,3945,2852,4434,4175,5614,5250,6356,4595,4748,5351,5467,5293,6486,4717,6555,5525,5621,10299,25349,28746,29591,34640,36082,43992,49411,52555,54140
Gaya,4470,5084,4610,5995,5255,4804,6130,4578,6410,6478,7414,6263,8009,7534,5905,7166,6384,8755,10019,9691,10993,17176,56462,66433,69741,80556,83351,100052,108405,111684,113084
Gopalganj,599,1563,1317,2771,2705,2652,5097,2368,4225,4519,4618,5833,4707,5749,6137,4999,3788,4916,9137,5567,5331,9266,20643,22413,25524,36173,42031,47447,49675,48529,47717
Jamui,166,480,402,997,1043,632,880,1194,1842,1440,1820,1134,1158,1102,716,817,1163,892,1094,839,1243,1222,23749,26199,24748,33632,37058,43377,47206,48973,49835
Jehanabad,321,341,407,1056,952,714,857,679,1201,1241,1568,871,1195,1186,934,867,1448,2371,2846,1497,1331,4420,11932,15047,16602,18826,20324,27647,31340,31741,32973
Kaimur,2891,4163,3841,3191,3089,3351,4682,4146,5146,4326,5309,5582,7742,6024,5045,4772,4368,3729,7996,5050,5375,4677,25985,27584,28655,39883,47259,48392,41480,45223,52199
Katihar,1090,1560,1433,1682,2737,2856,3375,3010,4617,3570,4750,2717,4551,4578,3278,5401,5740,4040,3624,4493,4660,7293,27745,31410,30661,36582,39187,45668,48898,49786,51503
Khagaria,180,658,450,743,1382,1151,1538,1609,1770,1803,2075,1501,1200,1930,1004,1332,1638,1442,1225,1161,1660,2583,12225,14050,14705,18332,19675,21995,24225,25395,25399
Kishanganj,691,567,815,1024,1193,1424,1347,1467,1983,1858,1825,1513,1730,1982,1501,2560,3593,3904,3849,3833,4232,5167,18101,21507,21313,24241,24195,25407,27380,28828,30504
Lakhisarai,407,900,943,1561,1336,1007,1138,1183,1743,1605,2004,1427,1474,1471,883,1249,1356,1777,1672,1472,1304,1835,13208,14349,14723,17453,18685,21833,24802,26172,27359
Madhepura,334,540,426,631,1034,1037,1507,1584,1830,1491,2960,1417,2025,2412,2300,3455,3870,2009,2900,2626,2748,7914,19095,23030,27072,31664,34252,36117,38789,38645,38670
Madhubani,487,1173,1580,1642,3553,1599,3765,2983,4407,4492,5223,3396,4497,5113,5127,5812,8289,3917,8518,5607,6008,14419,33571,38327,39843,46891,49028,60149,69348,73197,73800
