Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jagatsinghapur,2788,2952,4758,6440,7453,8116,9800,7413,11530,11523,11483,10440,14248,12331,10319,12797,12057,12861,14345,15863,18288,19520,23495,24610,24214,26289,27433,28193,29445,30739,33372
Jajapur,3827,4091,6531,8454,9402,9759,12400,10032,17608,11663,15127,11148,20506,21485,19214,25189,24164,29816,27783,32586,35192,37801,50045,53815,50654,55480,57199,58791,59829,61831,64169
Jharsuguda,6296,6987,7601,10646,11128,8960,10491,10839,13842,12187,13119,10181,14135,13276,13124,17709,18434,18839,20641,21756,24067,24343,37728,41607,38639,41619,41658,43220,42141,44504,46503
Kalahandi,1908,2510,2760,4012,5405,3564,5492,5137,7553,6204,4873,3801,4702,6497,4609,7853,6022,8519,8805,10535,9449,9516,57866,61834,54561,73675,75373,73197,56767,74635,83793
Kandhamal,533,977,704,1563,1549,1378,1674,2185,1839,1602,1376,1184,2261,1695,1108,1804,1598,1784,1303,1425,1468,1565,50823,37356,41287,66174,70728,46813,35783,68097,58638
Kendrapara,1563,1562,2263,3849,5287,6197,8987,4891,9645,6609,8231,6794,11010,9560,6999,10470,10586,10804,10199,12925,14135,16059,22610,24677,22601,27213,28323,29300,31347,33305,36459
Kendujhar,4767,6483,7230,10321,11087,9307,11025,9643,13971,8076,12561,9333,18482,15072,13788,20130,17747,24847,25706,25934,31255,29344,84354,87135,73430,98975,99194,94396,91011,104008,107164
Khordha,10273,10250,12022,15650,16042,15883,16227,14620,21416,18691,19049,17711,24926,23142,19416,24077,22704,24273,24990,27266,30220,33581,43631,46624,46630,50180,52350,54501,57446,60514,61872
Koraput,4495,5730,6214,8692,7728,7036,8836,8234,9849,8958,7939,6971,8340,7925,8579,9440,9309,12435,10170,11258,11940,13789,51477,66113,53820,82114,83963,86319,70894,77860,89550
Malkangiri,789,1813,1808,2480,1800,1480,2120,2160,2845,3562,4156,1639,2101,2185,2903,2306,2041,2784,2379,2533,2905,3807,30529,39974,28441,48014,50717,49250,33830,41502,46943
Mayurbhanj,2610,3741,5472,8084,11695,6873,12137,11924,15344,5221,13314,7315,14950,15568,12076,16827,12446,12880,9286,13801,11315,9927,80806,82584,76598,100052,105412,88917,82716,103424,100129
Nabarangapur,1215,1570,1452,3007,2028,1674,2315,1912,2548,1906,1971,1333,1836,1798,2091,1749,1627,2434,2006,2813,2032,2530,16473,33892,33345,47995,49082,50124,46021,51470,55301
Nayagarh,740,1680,2203,4215,3936,3574,4624,2462,3824,1526,2871,2782,7496,5271,3288,5779,5201,7369,5287,6634,8128,9701,30331,31123,26679,35895,36519,30323,26505,36763,33022
Nuapada,385,517,887,1492,2007,1564,1781,1522,2337,1359,2023,1415,1652,1520,1409,2933,1316,2014,1994,2419,2794,2806,25715,31833,25791,36249,36403,36620,29308,37194,41439
Puri,3448,4307,5393,7120,8632,8853,10629,6485,12417,8932,9969,7729,14171,13193,10586,13792,12752,12490,13165,15108,16314,18184,32844,35152,34012,37980,39300,41530,45085,46269,47220
Rayagada,2358,2611,2492,3584,4023,3245,4142,4001,5016,5051,3720,3412,3971,4161,3949,4567,4015,7215,6182,7091,10316,9493,37653,48130,38998,64681,66668,57681,47833,62895,56903
Sambalpur,5932,5997,6495,10073,10281,8889,11213,9940,13393,11897,12627,9762,14994,13577,12766,16887,16223,17789,18346,21787,21762,22557,72853,76353,62378,79238,81395,79287,68616,83173,85362
Subarnapur,680,533,753,2114,1552,1290,1803,1086,2251,1158,2443,1076,2294,1415,960,2508,2040,1638,1768,3635,4633,4164,21290,22688,20645,24430,24689,24749,24128,27502,27669
Sundargarh,14253,14622,15787,20935,21194,19249,21478,18143,24265,18689,21668,18369,27925,24939,23192,31927,31740,34838,35694,36390,38344,37928,103820,110062,93013,119508,125030,120148,110053,136534,146015
Karaikal,2448,2876,3219,4056,4050,3802,4329,4422,4672,5126,5246,5770,5611,5585,5437,5785,5685,5630,5890,5381,6766,6506,5639,5684,5347,5593,5722,6451,5733,6034,6532
Mahe,443,422,469,644,562,636,1228,1134,1034,1036,1077,1056,1187,1140,1130,1282,1138,1174,1111,1131,1260,1244,863,907,856,1189,1198,1341,1371,1530,1775
Puducherry,2744,3022,3317,4390,4616,4429,4285,4706,4896,5643,6344,6500,6850,6528,6760,7208,7471,8002,8191,7830,8519,8478,7801,7660,7677,8016,8157,8657,8529,8430,9277
Yanam,113,143,151,259,246,308,263,303,316,401,533,404,586,419,523,860,955,875,898,908,864,940,1082,1156,1092,1123,1129,1114,1039,1229,1197
Amritsar,33254,37051,33425,47687,48031,51874,55801,62442,62939,67375,65696,59829,69170,66635,67109,70625,66651,71451,67860,67788,75781,71373,70662,64437,63979,72363,72240,73946,74791,80345,87899
Barnala,10394,10575,10870,14930,16650,20314,19890,21880,21905,25525,24707,24529,28247,25978,25764,28068,27313,30809,25785,26280,29844,27047,23848,22674,22146,25791,25675,27943,28657,31618,34022
Bathinda,27164,26483,25293,35383,37594,45250,41878,47840,49619,55444,55708,57031,64337,60498,63213,69931,66328,78397,69956,71983,84025,78002,63995,62535,61652,69593,69776,76755,76205,81690,87621
Faridkot,14336,13384,12039,16902,17431,20403,20353,22175,23829,25797,25971,27003,28619,26664,28099,29925,27485,30578,26624,25611,29679,27366,22653,22358,21427,25352,26389,27517,28319,30199,32263
Fatehgarh Sahib,15194,14471,12829,16581,17389,20182,19304,21405,21191,24468,24410,23559,27070,24618,24753,26868,24249,28835,24406,23684,25495,23733,20742,20348,20394,23593,23149,25616,26952,29291,31783
Fazilka,26584,25572,22588,30773,31445,35617,34711,36916,37021,41267,39701,40192,46480,44363,44590,47443,43892,51302,43998,44615,53527,49771,40117,40422,37866,43802,42624,45585,45151,51234,55409
Firozpur,26511,26175,24435,33140,33717,36813,37769,41650,44277,47382,46067,47096,51682,48210,48960,53170,46248,50709,44641,42083,49222,46674,42784,44020,41711,49127,50368,53509,54107,58873,65139
Gurdaspur,26766,32824,25978,38435,38298,43236,45722,49663,49572,54697,52205,49467,54956,53741,53453,58238,52464,56087,47103,47554,54057,50587,43779,39796,38386,44685,42403,44918,46778,50369,57298
Hoshiarpur,25854,27507,20679,27905,28812,34674,35649,39331,42043,47376,49040,49569,52849,48770,48906,54826,50529,57232,46078,46817,53417,49994,42435,41612,41273,48739,47527,52711,51448,56076,61812
Jalandhar,38680,40646,33917,44997,47066,52031,50864,57690,58687,65404,62410,61067,67115,62174,62794,68090,63743,69748,61861,62198,69709,63937,55438,52690,52679,59543,57781,65136,68343,71708,78350
Kapurthala,19086,19531,16192,21437,22270,24181,24354,27100,28520,31324,30467,31048,33280,31176,31472,34241,31631,35250,31329,31909,35796,31879,29152,28105,28288,32197,31454,35409,37254,39665,43480
Ludhiana,52076,49467,47253,61492,65432,75046,74667,83400,84369,93739,90954,91574,98580,94610,92924,99942,93475,102176,91101,90091,103470,97045,82961,80140,79311,89132,87743,97005,101530,110239,120464
Mansa,13456,13933,13756,18913,19502,23402,20678,22999,24482,27968,27927,31224,34530,31911,33708,36992,34084,41601,33615,36330,42375,38338,31383,29499,28485,33080,31879,34323,34452,36992,39512
Moga,20507,19842,18959,27316,29437,33862,36030,38737,41750,45336,44770,46030,50550,46555,46129,49899,45044,49313,41852,41331,46652,42452,36832,35752,34543,40735,39948,43951,45824,49844,53307
Muktsar,20801,20116,18833,25538,25814,31379,31782,34860,38488,41848,41550,42233,46884,43745,43974,48983,44899,52219,45910,45232,55788,51877,42238,39247,37313,41893,39212,42622,43242,47350,51972
Pathankot,10647,10100,8578,12067,12270,13404,14335,14539,14614,16064,16634,16348,17759,17600,18053,20490,19414,20250,18065,18348,21894,21523,21123,21482,20735,23507,23195,24815,23997,24802,27436
Patiala,42958,40214,37738,48723,50534,58035,57797,65588,64093,72194,69964,70133,79235,72165,73291,78176,69938,80711,67292,67321,76154,70700,63414,61380,61300,70646,69487,77864,79916,87903,94424
Rupnagar,15468,12142,10188,14434,15487,16924,17051,20004,20739,23235,23721,22411,24540,22449,22902,25581,23271,27504,24466,24704,28259,25299,23258,24037,23798,26759,26680,29263,29873,32779,34889
Sahibzada Ajit Singh Nagar,16967,15058,14469,19338,20522,23586,22865,25686,26227,29940,29660,27896,31604,31031,32489,35803,32999,37043,34975,35191,40976,39617,38231,39178,40124,43869,44126,49957,49309,53523,57401
Sangrur,34269,32010,30997,42091,44739,53297,50891,56945,57649,65323,63647,65977,72803,65680,67401,70861,66509,76825,62404,62038,70696,66842,55578,53846,52871,61340,61673,68799,70762,77275,81204
Shahid Bhagat Singh Nagar,12864,13217,10863,14243,16090,17534,17796,19713,19351,22400,23031,22304,24802,22446,22481,25015,22200,25475,21538,21510,24302,21654,17670,17316,16709,19781,19461,21836,24815,29635,32510
Tarn Taran,22149,25677,24381,33623,34501,36959,40101,45603,45321,51042,49013,44893,52227,49709,50054,55261,50893,55894,51802,52545,58746,53545,53368,50984,52345,61262,61410,59136,59953,64649,69338
Ajmer,24267,27109,29439,35011,38141,35048,45468,46873,55332,57346,56020,49969,58842,54745,51213,62033,57656,63846,63085,63802,71984,72512,111299,116473,114227,125909,132820,137352,130597,138377,150416
Alwar,29952,36044,39447,50593,52762,48838,54177,50743,56277,59754,57674,60410,68443,64638,62613,78140,84626,109279,102087,99370,130347,132493,154835,160862,150387,156057,163264,173762,160288,169740,176158
Banswara,5173,6246,7797,10934,11028,10127,9177,8967,9598,11493,12091,10995,12575,13196,9476,15108,11278,15750,14716,19725,18176,21018,46334,48808,44976,51387,54441,56677,59766,59134,64271
Baran,8499,11672,14499,19040,18707,15638,17844,18072,19440,19177,20314,18075,25250,24364,24294,32365,31528,33808,34600,39751,47422,40665,83002,86620,83434,92587,92529,99582,99682,97768,102769
Barmer,6977,10210,8664,14773,16095,18046,22471,22621,24245,25912,25027,25221,28680,31072,23478,29734,28821,34453,40028,38156,43957,41316,166797,181426,149203,274820,268414,264672,208325,234487,251020
Bharatpur,21194,22634,24573,32296,32386,31139,30605,26721,26437,27559,27178,33431,38266,35663,31347,40218,43107,55263,49215,48469,63507,65614,80268,84444,80821,86281,82020,91554,86301,88716,93002
Bhilwara,12038,15212,18143,27078,25313,25298,30357,35056,42746,46137,41132,41389,47335,41309,33799,53212,47204,48853,49333,45335,51275,49390,114920,119546,115382,130252,134649,139746,132146,139448,154339
Bikaner,17152,19150,22648,22605,25697,33852,37933,38491,41754,48783,43141,41639,54019,52369,44626,54364,52041,65948,61355,63734,77136,74863,191936,197852,174253,278600,253510,260615,207193,230413,251468
Bundi,12375,15765,16533,19722,18979,18754,19841,22046,22385,23591,21366,19975,26527,24417,18879,23936,23770,27159,26975,25582,30950,27341,62497,63939,62598,69950,71219,74472,68906,71764,77978
Chittaurgarh,15346,19992,23316,33828,33163,27185,31498,33876,34828,39293,40259,40320,47208,44600,39819,52238,45835,50175,50943,53456,62437,59525,98998,102724,97759,108486,115608,117567,110506,113349,123742
Churu,24514,23959,28881,29200,39506,45780,56185,52761,65171,67120,64035,59230,72750,76507,65199,81592,79031,97139,90937,87759,115529,118322,163876,165651,158642,183636,182685,185952,172580,178694,187466
Dausa,13295,15914,17137,20905,22845,21571,22413,22386,24642,26761,24747,25786,30391,27975,27178,32335,34747,48073,45598,45276,58063,61127,69909,72736,71976,74042,75101,80327,74228,77005,78513
Dhaulpur,3893,5001,6259,7300,6767,6195,7596,5878,6452,6695,6422,7759,9554,10096,9062,12642,12746,13583,12638,10623,15628,18856,36203,36816,33699,39566,38149,40884,36971,37763,41239
Dungarpur,4736,4753,6243,9044,8307,8730,8027,7640,7887,11898,11666,11994,12802,13377,8626,15507,11303,18848,14549,14958,13521,19631,35905,37509,35580,41537,43684,45539,46742,47536,51205
Ganganagar,50326,51755,51130,65094,76388,76566,79458,83632,77692,83808,85330,84428,104590,90038,87304,99278,91367,123909,101881,101674,126334,120523,115734,119041,110962,136371,133445,142746,129410,144314,155144
Hanumangarh,30225,30688,28103,35920,46366,40770,44586,48307,50881,51866,52094,54699,63782,59771,58703,70633,64785,82599,67072,65954,81549,80553,82573,83952,75764,95901,94363,98696,90891,97554,105228
Jaipur,71761,75991,73302,94552,102895,96783,106004,108849,118180,125912,128391,118959,137953,132506,135558,148386,151633,184122,177499,177394,211276,217209,233711,244617,233996,237967,238354,263413,251597,261998,278615
Jaisalmer,3387,4239,4541,7333,8412,10039,12573,17581,19534,21906,22326,20589,26000,22902,19007,22840,23548,28412,25377,26551,27422,27949,122938,130023,120718,314962,236472,210229,141370,163947,183985
Jalor,7636,13556,11140,19790,18415,19368,23541,21779,23293,22471,22717,24739,30696,27793,16074,22377,17341,26890,34532,33224,30648,27432,89785,93016,86637,106776,106734,109046,98523,103874,109850
Jhalawar,8546,16380,16407,24378,21923,17183,22677,25208,24935,25926,24913,18526,27540,26280,23143,30455,28564,36539,34804,38662,39652,33085,74718,77559,75891,81458,82087,85937,85196,84980,90636
Jhunjhunun,37668,36819,36255,47300,50379,49829,53437,54590,49773,57665,59451,64216,77072,69942,68708,79171,77077,99349,88884,87178,110754,102125,84398,87513,81850,85860,84873,89220,85495,90135,99148
Jodhpur,34014,36305,38051,51924,53925,50880,65246,64946,67102,72280,64120,65950,85330,83964,72182,89728,90089,108357,113025,117714,137186,122660,238419,244520,237537,279664,284566,299760,278665,292945,309880
Karauli,5091,7469,10915,12746,12787,11580,11925,11640,11462,13028,12400,13888,17632,17158,15647,18615,19613,25367,26601,27556,37051,42072,72710,78480,75599,79172,74755,83804,76364,73415,74220
Kota,25817,30486,32193,41037,40982,37734,41552,43137,44175,44909,45507,41913,50376,46112,42896,51270,51663,55567,55492,56600,62755,58559,91674,91976,88659,96924,95726,103701,97538,99835,112243
Nagaur,41747,48084,54523,59733,68217,59003,74936,64735,63685,77895,70163,76359,100816,93620,82552,99544,93857,106081,104693,107641,134817,117961,187223,191944,181941,202155,205161,215527,201039,214612,225399
Pali,18853,23066,27391,41795,43062,40984,46783,48574,54183,55417,47137,46346,56598,51890,40741,54464,48790,49997,52375,48509,52861,48339,117293,123917,119130,140686,143699,147194,139891,147524,156976
Pratapgarh,4500,6495,7499,10743,9736,7566,7959,8306,7745,8887,7441,8357,10255,9335,6446,11414,8338,8034,10319,13220,13207,9194,38970,40966,37211,45143,48150,49439,46007,48253,51039
Rajsamand,8192,11077,12236,19293,20852,21868,22311,25359,28417,29828,27553,28608,31363,29131,25972,32664,31352,38631,36949,36604,40615,39592,58879,60935,60738,67024,69679,72333,69986,73312,78608
Sawai Madhopur,6752,8452,9354,12331,12320,10263,11514,11739,13292,14974,13678,14001,15871,15949,12122,15447,16594,19084,22776,25943,33341,36771,56497,59582,55018,62011,61560,64275,59306,61725,64512
Sikar,43572,44911,45434,58526,62373,59862,65288,64062,58169,63791,60181,70377,82765,73808,69855,86175,85000,108949,99274,100090,124853,116810,107685,115278,105184,111709,108566,114537,111020,117299,125997
Sirohi,7852,11888,11157,17540,20032,18848,19403,20808,22678,22103,21499,21555,25469,23280,18624,24886,21751,26343,25646,24586,22892,23739,47760,50549,48263,60902,61537,63469,60845,64185,69209
Tonk,7814,9219,10238,13570,12650,8756,14032,17007,20351,21918,20580,17998,23083,20138,16394,23100,20642,20737,21184,22029,25383,27344,69301,71189,67672,79028,79196,81265,76334,80786,85873
Udaipur,16689,20526,22851,29924,32169,32672,31065,35754,36656,40552,38283,41026,44322,41834,35066,49488,42292,52802,50017,53524,54995,59803,114483,123598,111855,142932,149212,154298,138910,151425,164520
East Sikkim,1033,1201,1238,1736,1813,1925,1759,2197,1813,2124,2711,1848,3496,3223,3028,4357,4257,4653,5228,5423,4995,5420,9975,10435,8740,10851,10254,11213,9941,10904,11950
North Sikkim,0,24,0,0,12,0,12,14,8,124,171,143,152,192,200,432,519,580,1099,927,662,1132,6333,8119,5387,25634,25737,10198,4775,6348,8136
South Sikkim,209,269,282,603,530,722,541,814,939,995,1195,427,1707,2195,1967,2907,2999,2898,3719,3866,4181,4342,6496,6838,5885,7525,6848,6922,6057,6541,7661
West Sikkim,176,160,164,653,554,477,484,825,909,845,701,49,726,1353,909,1861,1818,1569,2077,2038,2125,2344,6448,6837,5673,8171,7106,6998,5536,5936,6162
Ariyalur,3926,8009,8458,11956,12028,10706,12519,14671,16203,18116,18263,20537,20601,17772,16503,20596,19770,23989,21498,21293,22196,21782,21349,22181,20994,23456,23643,26761,29326,31760,36670
Chennai,14002,14428,14250,14605,14817,14571,14568,14605,14445,14617,14649,14679,14073,14461,14491,14504,14240,13841,13750,14800,14960,15002,14717,14754,14750,14821,14847,14966,14911,14954,14975
Coimbatore,27929,31279,31528,39409,39919,40270,44532,47934,50007,54443,54272,54624,55367,50325,49851,55423,53085,58378,61176,57883,60438,60474,57146,60156,58854,64171,63547,71644,72191,75382,79958
Cuddalore,24200,29366,30209,38775,39879,35693,41596,47946,51244,59019,59410,62156,61959,58640,57728,64844,63208,68875,67752,64625,71329,68433,63582,63400,60829,64370,65094,69301,70400,73117,77566
Dharmapuri,12254,13818,14679,20426,17211,19437,20408,24781,27319,29323,32413,28182,30778,27646,26615,33338,29590,36459,35816,34764,34068,33136,38931,41177,37969,46666,48222,50309,52096,56031,61115
Dindigul,19120,25431,26874,35248,32933,32030,37086,43632,42401,47555,46849,51726,53190,46373,42397,54563,47253,58264,56509,53703,53574,56661,61573,64657,61709,67076,66605,75864,73509,79333,83854
Erode,29978,30504,31394,38975,36672,41383,44102,50203,51119,56371,59357,56794,55679,53446,55622,62430,56904,62567,66465,59861,60388,61840,63491,67428,61306,72845,72633,80784,77305,82259,87473
Kancheepuram,33356,39412,39815,49810,53356,53735,55977,64979,68673,76433,77563,83677,85195,81303,84134,95096,96599,104285,108796,104510,110134,110245,108856,112173,111035,118037,122331,133419,134652,137198,153716
Kanniyakumari,8937,9183,9063,11767,10983,12760,15026,18198,20408,21346,21842,22677,25354,24790,23572,25854,24237,26366,27963,26893,26069,26142,22243,21597,22679,24132,24335,28675,28539,30847,31127
Karur,9370,13790,14622,19985,18063,19785,21173,23465,25218,27696,27358,31063,30303,26570,24818,31057,27179,33815,32952,31386,30964,31586,31861,34595,32551,36110,35775,39807,41137,44260,46644
Krishnagiri,13722,16158,16302,23647,21828,22272,24202,28016,29632,33945,36414,32906,38849,35800,32843,40821,37673,45337,43917,45645,44127,44370,51960,56349,51602,63245,67130,74687,76193,83510,94754
Madurai,23764,25177,25877,30520,29724,30150,32715,37786,38737,39658,39966,45442,44775,40604,39057,45139,42787,48816,47742,45378,45565,47749,46353,49368,45901,50566,50729,57168,57720,63065,66561
Nagappattinam,13335,14755,15846,20892,19992,19223,21364,24071,25918,31201,29771,33572,31704,28871,27547,29790,27469,31817,28481,27035,28179,27895,27382,29595,27505,30373,31666,35675,37070,38888,38924
Namakkal,23542,25694,26235,32865,31637,34922,36869,41405,44395,47799,49657,51310,51468,48363,46852,53515,48904,56648,57141,54244,50758,51710,47970,50505,48093,52737,52745,59191,60613,64550,67925
Perambalur,2611,6727,6860,9868,8959,8387,9968,11554,12232,12800,13477,14774,14586,12571,11413,14668,13796,17236,17681,16258,16800,16427,17488,18849,17801,19627,19638,21517,22573,24959,26949
Pudukkottai,13312,19769,18647,27828,26417,26874,28798,35509,38810,40423,40886,49619,45247,40172,37812,46121,40306,50055,45630,43360,44719,44586,43512,46558,42262,48071,48680,53977,55044,58792,61639
Ramanathapuram,5625,10596,10133,16280,12994,17604,17176,21397,23632,24605,26576,32447,29940,27212,23953,29370,25484,32349,28904,27799,28561,29088,35118,37675,35042,39624,39579,42115,39869,43057,46754
Salem,38473,40604,44450,52588,49277,54098,58548,67077,70192,73751,75276,74782,78539,75118,74168,83058,78238,88424,92023,85193,81953,83189,82480,85913,83396,90499,92337,99943,99728,106975,113172
Sivaganga,12754,15814,14748,23405,19567,23455,24374,29198,30890,31672,32759,39877,37553,32150,30175,36929,32246,40999,36926,35726,36824,38108,37221,39352,36082,40796,40950,43604,42455,46924,51131
Thanjavur,19373,22046,22283,28826,29124,29091,32755,37689,40260,47651,45871,52020,51463,45940,44589,49655,45313,53418,48832,45952,45489,45394,41307,43312,40759,44018,44961,50845,53414,55682,57747
The Nilgiris,4471,5682,6805,8685,9447,8214,11881,12113,12966,16178,16199,15555,17121,14046,13292,15846,13950,16313,15935,15178,18812,16775,20743,22204,21038,23243,22103,24378,22188,22734,24238
Theni,7228,10748,11043,13590,12523,12663,15423,17212,16857,18305,19261,18466,22803,19376,17044,20869,19073,22648,22215,20301,20892,22136,24944,25557,25542,27448,26413,30646,28726,30449,31590
Thiruvallur,36223,36943,38681,45166,47803,46549,50259,58077,61260,65609,63499,67614,66546,65654,64980,73675,71021,75797,79284,75197,81821,79841,74459,75787,73688,80016,85535,92101,95106,99162,108611
Thiruvarur,13189,16262,16582,23528,21510,20779,24580,25752,26235,34339,30926,34969,33358,30176,28317,30157,26965,31932,27922,26878,27312,26359,27905,31802,27886,28509,29427,33812,36724,39408,40674
Thoothukkudi,18631,22592,22933,30277,28047,32313,32877,36317,40539,42264,41499,47988,45974,41921,38654,45474,41941,49902,48869,50184,51141,50281,52114,55688,54634,59660,59107,64784,61516,68577,71929
Tiruchirappalli,23730,29595,29617,38537,36129,37190,40948,45958,48916,52158,52767,59007,55688,52169,49418,59347,54800,62493,61696,59585,61449,60438,60926,65625,61805,66345,66234,73990,76373,81211,85622
Tirunelveli,28375,34587,35077,44303,42831,44893,50627,57953,60557,66223,64808,70570,71692,68838,68202,74133,72469,82480,85985,81682,83110,81191,77012,80252,78759,85803,83956,94799,86287,92288,98489
Tiruppur,32994,38486,39340,50566,48084,51409,56881,61955,63369,67920,68615,73036,74153,67898,68823,78592,74408,83956,87777,84109,82916,84750,80588,83710,82278,87926,88220,104400,106678,116024,126046
Tiruvannamalai,16747,26636,26957,33336,32287,29918,35564,41534,43280,46280,48662,48150,53447,46184,41603,54430,52641,62440,64366,57443,58272,58680,62103,65805,60595,68296,70395,73070,75893,79127,85472
Vellore,33369,40000,39424,48261,48766,49316,53914,62433,63060,68908,72066,71579,75230,68356,65240,76529,73300,83117,86863,80550,77169,77107,83057,87771,84621,92736,95585,101055,102543,105419,115660
Viluppuram,29367,39937,41437,51145,48641,46544,53044,61887,68080,75155,76966,78439,79958,75262,72158,82668,80754,92889,92095,83973,91444,90215,87360,88734,83431,93173,96736,101660,103204,106724,120662
Virudunagar,20670,23066,22485,29236,26906,29371,30530,35918,36832,36887,38212,43506,42620,38546,35918,41870,39791,45499,44264,42867,43432,43667,46598,50602,47251,51553,51407,57900,56800,61514,65499
Adilabad,31512,45470,35528,49136,53677,43189,60473,59493,75372,71782,70869,65731,76846,69419,63258,87057,98909,94446,91777,95560,112736,103784,144103,151152,139406,164168,172182,179234,173477,191355,202845
Hyderabad,13086,13143,13211,13398,13479,13381,13173,13310,13323,13451,13531,13495,12884,13187,13350,13338,13134,13039,13039,13915,13797,13797,13792,13793,13793,13792,13790,13793,13792,13795,13797
Karimnagar,63429,67307,61900,79160,85914,80482,92294,95633,106612,110008,112903,116225,124406,109561,106363,130672,128967,146187,137649,140117,156944,149507,127174,134436,127684,150657,161662,174803,185526,201395,219219
Khammam,25008,34827,38255,50408,51292,44580,44273,48349,56670,58797,71214,58063,69632,65172,64233,82774,74159,89412,82301,87250,93798,99527,128650,144653,120976,156198,165272,165750,152239,168825,178324
Mahbubnagar,28604,61302,53827,58146,82716,71382,89935,96845,93597,102728,107688,96854,127667,112418,107395,139288,133288,161397,155348,168066,191681,183073,184262,200120,188331,212270,224834,239550,246539,266647,283943
Medak,43147,54530,43947,56142,61536,60511,70964,75146,81839,87306,86566,89592,99511,90069,86899,110662,108087,119874,117972,126785,146111,136117,126948,136416,126873,144521,157796,170463,183398,196184,210816
Nalgonda,45058,65911,53599,66179,77261,71246,85716,89692,92323,92846,100048,102272,116790,102278,94036,124025,116566,145374,133083,142915,159997,157057,149327,152572,148556,165184,174718,185360,200317,216973,233906
Nizamabad,39293,51102,38705,51738,58685,50474,69624,70433,74741,82352,83136,81929,90531,74590,74575,91218,89811,96180,91834,93759,105855,95341,82006,85461,80606,91646,98652,104644,110213,119617,128628
Ranga Reddy,59166,69389,63901,74967,81872,82534,91129,97817,101478,107105,109812,107453,122011,118574,121006,140263,142244,152847,157551,164841,176491,171787,170918,177621,172778,183711,193206,209447,217569,227342,244785
Warangal,33811,47136,42855,57096,60403,55976,60454,66255,73798,75205,79386,72130,85275,78690,76230,97943,91204,109377,98135,104807,114336,113176,117350,125578,117187,140411,148617,149303,153733,170238,181684
Dhalai,912,1643,1241,1782,1440,1405,1949,2777,2379,2370,2442,2253,3323,2771,2653,3781,3221,3727,4341,5289,5956,5863,16805,18571,14551,18712,21704,20304,19178,19104,19875
Gomati,989,2389,1841,2148,2338,1991,2688,3031,2809,3069,3974,3392,4843,4652,3344,5255,4288,5526,6698,8689,9053,9816,16138,17168,15033,16857,18119,18521,18140,18722,18556
Khowai,1131,1954,1106,1780,2127,2008,2472,3260,2291,2400,2926,2335,3512,3215,2865,4179,3309,4507,4684,5588,6171,7619,12655,12986,11172,12932,13641,14616,14621,14339,14438
North Tripura,1257,1671,1332,1896,2051,2077,2451,2918,2499,2433,2868,2523,3456,2623,2249,2775,2893,3065,3366,3625,3963,4222,12509,13247,10312,12701,13796,14309,13801,13609,13531
Sipahijala,3528,4941,4130,4249,4439,5037,5855,6328,6312,6408,6147,5635,7873,6377,5481,6595,5964,6994,7454,8729,9076,9524,14751,15640,14491,16857,17086,18313,18138,18275,17703
South Tripura,1264,2205,1492,1754,1600,1946,3782,4028,3845,4155,4603,5014,6914,6059,2991,5897,5077,5676,5794,7769,8238,8746,14946,16309,14887,17708,18917,19439,19137,19607,20234
Unokoti,1069,1421,1230,1578,1583,1791,2329,2975,2387,2589,2677,2705,3636,3021,2540,3022,2881,2611,3331,3932,4302,4554,8350,9397,7574,8769,9542,9792,9564,9904,9997
West Tripura,5870,7431,6097,6587,7321,8755,10126,10349,9888,10124,10560,9992,12456,11531,10167,12485,12455,14904,14567,16471,17470,18587,23635,24464,21181,22728,23287,25939,25724,26949,26708
Agra,16176,18071,20551,23131,26629,21835,26003,28747,31091,36333,37947,35729,39490,36576,37424,44467,45080,52405,49175,50916,53822,53319,70542,71906,73116,89128,87488,89273,81005,83908,88192
Aligarh,19299,18344,19508,20593,21928,21034,26799,26831,17782,27045,20293,21260,22650,21388,18862,24160,22875,23705,26819,28972,36303,27191,58066,58102,70173,87497,86377,91685,83755,83176,88705
Allahabad,23714,25979,25019,30323,30812,26683,28437,26985,31757,34873,31925,26818,31879,29458,30289,40841,33051,33772,42026,45312,55102,58305,84250,88199,97875,121461,120925,127524,129731,131724,141929
Ambedkar Nagar,5607,8290,7521,9499,8588,7936,7455,9542,11392,7713,9443,7150,11860,12968,12754,14231,7452,9391,11825,12272,11429,11267,25788,28182,33149,43811,45475,46374,45193,44179,46629
Amethi,14232,15268,15044,19010,18560,16062,16148,10131,12441,15298,10614,8008,7787,7529,6687,13015,7813,9082,12843,8631,11135,12047,38356,37591,40398,54153,55576,59497,58495,59384,64398
Amroha,12021,10933,12122,15005,15218,8659,13693,9802,10878,14644,14124,12032,16236,13873,13649,17291,13924,11779,13600,12778,15545,18284,33994,36554,41724,53493,47743,51748,48546,50906,55249
Auraiya,4411,4027,6508,8263,6947,5424,8095,14474,12847,10905,9667,9409,13443,12043,14193,13389,11129,9930,9816,10698,16216,17524,34918,36085,38393,43567,43621,45201,44887,45182,49229
Azamgarh,15936,19132,14835,18386,14128,9664,14458,4895,10100,12334,7338,5058,6359,5383,7687,8798,8437,5969,12168,10012,10714,10887,49655,49575,55312,72181,76409,80899,81215,82014,93497
