District,Predicted_GDDP_2020
Kasganj,440530.06331250886
Kaushambi,583116.1779405421
Kushinagar,630798.4724935438
Lakhimpur Kheri,1134216.6993776204
Lalitpur,669767.065623784
Lucknow,1044293.962848445
Maharajganj,573198.6263878209
Mahoba,516940.9030527111
Mainpuri,636928.848821128
Mathura,1062716.2021749269
Mau,673609.462582644
Meerut,877051.2315064241
Mirzapur,1084351.2225435583
Moradabad,586058.4463458803
Muzaffarnagar,767069.8018156016
Pilibhit,595056.7736207101
Pratapgarh,943961.5935350237
Rae Bareli,853892.9793063196
Rampur,628680.5311372792
Saharanpur,897510.3818756389
Sambhal,562763.6301161887
Sant Kabir Nagar,383844.3006105493
Sant Ravi Das Nagar,447591.62477408553
Shahjahanpur,906059.6302716299
Shamli,418482.18055517174
Shravasti,578085.1940407148
Siddharth Nagar,571273.2542234735
Sitapur,2156913.039673617
Sonbhadra,1158759.3554091991
Sultanpur,632546.6648116675
Unnao,947627.332809677
Varanasi,694646.7760945461
Almora,474844.77931120986
Bageshwar,349566.2083163058
Chamoli,449085.00561473373
Chamoli,54337.02783576172
Champawat,237916.2781451949
Dehradun,846582.8734871064
Garhwal,582706.1299410869
Hardwar,809634.1241968869
Nainital,576405.634598648
Pithoragarh,485033.7276077005
Pithoragarh,54337.02783576172
Rudraprayag,1752692.870552623
Tehri Garhwal,569186.8154162822
Udham Singh Nagar,966479.093571147
Uttarkashi,416504.4859124547
Uttarkashi,54337.02783576172
Alipurduar,435117.79010239476
Bankura,1029385.6721705938
Barddhaman,3047660.6802038024
Birbhum,914047.7099631453
Dakshin Dinajpur,406963.98664016
Darjiling,564140.8340683396
Haora,585165.5069076398
Hugli,902262.9391048454
Jalpaiguri,641577.7417904967
Koch Bihar,632501.3728327653
Kolkata,2323496.765546461
Maldah,675062.0706568338
Murshidabad,1072966.4650723352
Nadia,918094.7934340473
North 24 Parganas,1061645.1967947434
Pashchim Medinipur,1279940.456427057
Purba Medinipur,899298.1939602373
Puruliya,947851.6712503367
South 24 Parganas,1181350.927938821
Uttar Dinajpur,676901.7376122058
