District,1992_GDDP_Predicted,1993_GDDP_Predicted,1994_GDDP_Predicted,1995_GDDP_Predicted,1996_GDDP_Predicted,1997_GDDP_Predicted,1998_GDDP_Predicted,1999_GDDP_Predicted,2000_GDDP_Predicted,2001_GDDP_Predicted,2002_GDDP_Predicted,2003_GDDP_Predicted,2004_GDDP_Predicted,2005_GDDP_Predicted,2006_GDDP_Predicted,2007_GDDP_Predicted,2008_GDDP_Predicted,2009_GDDP_Predicted,2010_GDDP_Predicted,2011_GDDP_Predicted,2012_GDDP_Predicted,2013_GDDP_Predicted,2014_GDDP_Predicted,2015_GDDP_Predicted,2016_GDDP_Predicted,2017_GDDP_Predicted,2018_GDDP_Predicted,2019_GDDP_Predicted,2020_GDDP_Predicted,2021_GDDP_Predicted,2022_GDDP_Predicted
Pithoragarh,64778.348599312056,64778.348599312056,68821.03195806642,71523.38804808594,84207.14707555683,68821.03195806642,71523.38804808594,105783.49409003084,84207.14707555683,84207.14707555683,84207.14707555683,131261.79494679812,158142.77977658552,91372.68775484338,105783.49409003084,145906.93815578273,145906.93815578273,105783.49409003084,219108.66102344904,166178.91669325964,335948.63064942934,439986.4724469204,453917.34768034617,557032.2955830402,453917.34768034617,1038023.6686553545,906813.949993926,881205.6101966847,487167.44180049124,453917.34768034617,487167.44180049124
Ballia,241654.61288758856,323933.4020422347,403741.98297757463,241654.61288758856,267748.7609663321,219108.66102344904,241654.61288758856,145906.93815578273,166178.91669325964,241654.61288758856,213401.86512803702,219108.66102344904,166178.91669325964,219108.66102344904,158142.77977658552,219108.66102344904,213401.86512803702,219108.66102344904,219108.66102344904,393547.2981825064,288442.7184709439,241654.61288758856,557032.2955830402,557032.2955830402,556351.8163915195,883288.6123981061,855402.06538646,884819.5967879831,789467.8785424769,1418473.2561553556,936918.286899739
Meerut,452428.54598634,403463.41739346687,403463.41739346687,427036.1972800199,453917.34768034617,493444.78031018935,427036.1972800199,403463.41739346687,403463.41739346687,557032.2955830402,453917.34768034617,403463.41739346687,403463.41739346687,403463.41739346687,452428.54598634,557032.2955830402,453917.34768034617,557032.2955830402,557032.2955830402,557032.2955830402,560028.3941262603,560028.3941262603,637020.4449788313,802806.9279257131,1249097.3223079387,936918.286899739,1038023.6686553545,885721.8435315539,805726.7962868309,1084655.6165113032,983753.654628519
Dehradun,267748.7609663321,241654.61288758856,241654.61288758856,339492.6966680354,339492.6966680354,339492.6966680354,349081.87015022634,368006.2478726287,368006.2478726287,403463.41739346687,403463.41739346687,403463.41739346687,453917.34768034617,427036.1972800199,557032.2955830402,539084.2905274781,557032.2955830402,539084.2905274781,560028.3941262603,574199.359670936,567609.2008423703,567609.2008423703,623394.1083949166,641508.2045567842,641508.2045567842,824831.5270238817,882798.850977985,910492.7646623688,862231.2769874998,906813.949993926,824905.6724204426
Jharsuguda,219108.66102344904,304204.9027872174,393547.2981825064,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,374574.98399223364,241654.61288758856,403741.98297757463,241654.61288758856,374574.98399223364,403741.98297757463,403741.98297757463,339492.6966680354,339492.6966680354,349081.87015022634,376760.9866539024,368006.2478726287,368006.2478726287,368006.2478726287,539084.2905274781,560028.3941262603,539084.2905274781,560028.3941262603,560028.3941262603,567609.2008423703,567609.2008423703,575847.0456870422,565378.0035950973
Bhilwara,241654.61288758856,323933.4020422347,339492.6966680354,403463.41739346687,420187.16814314673,420187.16814314673,453917.34768034617,557032.2955830402,567609.2008423703,565378.0035950973,560028.3941262603,560028.3941262603,595188.5401727818,560028.3941262603,557032.2955830402,623394.1083949166,595188.5401727818,595188.5401727818,690539.2991887387,575847.0456870422,623394.1083949166,623394.1083949166,1076723.1145272707,1391554.591706272,896489.1145272714,1148924.3753200665,1171215.391394682,1320441.6905528854,1256071.6461282847,1320441.6905528854,1427803.8885254925
Ganjam,241654.61288758856,403741.98297757463,374574.98399223364,376760.9866539024,368006.2478726287,339492.6966680354,368006.2478726287,339492.6966680354,403463.41739346687,368006.2478726287,368006.2478726287,323933.4020422347,403463.41739346687,368006.2478726287,376760.9866539024,403463.41739346687,420187.16814314673,403463.41739346687,368006.2478726287,403463.41739346687,427036.1972800199,509911.1493101894,789467.8785424769,937917.038050064,3179837.923649339,973445.6824819329,962485.9919130796,962485.9919130796,973445.6824819329,1075350.8242218788,1060175.860254961
Bulandshahr,403463.41739346687,403463.41739346687,368006.2478726287,403463.41739346687,403463.41739346687,323933.4020422347,368006.2478726287,376760.9866539024,349081.87015022634,453917.34768034617,403463.41739346687,349081.87015022634,349081.87015022634,349081.87015022634,367193.56684797263,368006.2478726287,368006.2478726287,349081.87015022634,368006.2478726287,403463.41739346687,539084.2905274781,557032.2955830402,641508.2045567842,802806.9279257131,881205.6101966847,1284291.239407956,894665.2166731625,1284291.239407956,939999.1544640926,935569.0059286448,962485.9919130796
Kurukshetra,403463.41739346687,368006.2478726287,368006.2478726287,453917.34768034617,487167.44180049124,557032.2955830402,562965.5024924381,557032.2955830402,521691.8432132527,567609.2008423703,567609.2008423703,539084.2905274781,565378.0035950973,567609.2008423703,539084.2905274781,567609.2008423703,570453.6510764295,595188.5401727818,542126.2007856356,539084.2905274781,575847.0456870422,567609.2008423703,560028.3941262603,557032.2955830402,427036.1972800199,572596.051406564,572596.051406564,539084.2905274781,560028.3941262603,567609.2008423703,560202.6217769155
Mandya,323933.4020422347,349081.87015022634,368006.2478726287,403463.41739346687,414420.19472445734,403463.41739346687,627153.9121048021,557032.2955830402,539084.2905274781,560028.3941262603,567609.2008423703,565378.0035950973,623394.1083949166,560202.6217769155,595188.5401727818,641508.2045567842,641508.2045567842,637020.4449788313,623394.1083949166,641508.2045567842,624388.2158370167,623394.1083949166,624388.2158370167,882798.850977985,637020.4449788313,892610.5932916175,938583.3652837642,1246167.746851557,805726.7962868309,959090.0326358714,1008720.4888534133
