Col_A_Block_1,Col_B_Block_1,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
52,Kamrup,8477.0,7662.0,8613.0,9075.0,9989.0,9549.0,10181.0,11739.0,11451.0,10243.0,10965.0,8878.0,12339.0,12253.0,12625.0,15701.0,15564.0,16978.0,17253.0,18236.0,21855.0,21297.0,37229.0,39601.0,35694.0,41437.0,42558.0,45421.0,45246.0,48306.0,52257.0
53,Kamrup Metropolitan,8411.0,8215.0,9016.0,10336.0,10876.0,11052.0,10944.0,11626.0,11307.0,11754.0,12925.0,11603.0,13651.0,13985.0,13768.0,15401.0,15021.0,16382.0,16315.0,17962.0,17350.0,18278.0,18965.0,19895.0,18403.0,19847.0,20113.0,22451.0,22411.0,24121.0,25571.0
54,Karbi Anglong,2567.0,3220.0,2915.0,3578.0,4591.0,4230.0,4234.0,5364.0,5292.0,5097.0,5562.0,3099.0,4717.0,5651.0,5063.0,6454.0,6512.0,6620.0,9220.0,8325.0,11237.0,9539.0,73102.0,70105.0,42788.0,63635.0,69099.0,61416.0,57824.0,65035.0,65743.0
55,Karimganj,2627.0,2717.0,2274.0,2890.0,3322.0,4473.0,4563.0,5703.0,4268.0,3540.0,4400.0,2187.0,3678.0,2257.0,1948.0,3388.0,3094.0,3064.0,3429.0,3624.0,3559.0,3116.0,16098.0,17734.0,15075.0,19360.0,20269.0,20847.0,20753.0,22190.0,22092.0
56,Kokrajhar,2264.0,1795.0,1942.0,2270.0,3998.0,3861.0,4163.0,4687.0,4969.0,4113.0,3923.0,2469.0,5964.0,5374.0,5422.0,6348.0,7545.0,6160.0,8419.0,8349.0,9590.0,8512.0,24101.0,28283.0,24593.0,30458.0,31753.0,33246.0,32613.0,34794.0,37203.0
57,Lakhimpur,584.0,408.0,577.0,600.0,1357.0,1170.0,1046.0,1474.0,1109.0,1267.0,831.0,812.0,1662.0,1229.0,1306.0,1862.0,2146.0,2327.0,3360.0,3947.0,3339.0,2932.0,17255.0,23926.0,17024.0,27479.0,28314.0,29439.0,25546.0,29387.0,31915.0
58,Morigaon,2121.0,1760.0,2351.0,2029.0,2854.0,3238.0,3105.0,3132.0,2554.0,2291.0,3247.0,1775.0,2751.0,2774.0,3568.0,4258.0,4061.0,3786.0,4248.0,3950.0,3817.0,3655.0,13652.0,14989.0,14015.0,16763.0,16616.0,16763.0,16328.0,18137.0,18901.0
59,Nagaon,7121.0,7010.0,7982.0,9277.0,12807.0,11007.0,10812.0,10755.0,12737.0,11385.0,12677.0,6756.0,11809.0,10444.0,11721.0,12833.0,13224.0,13722.0,15026.0,14862.0,17572.0,16143.0,38210.0,43123.0,40122.0,47181.0,46975.0,48105.0,48672.0,52628.0,55499.0
60,Nalbari,2868.0,2407.0,2366.0,1857.0,2519.0,2007.0,2177.0,2694.0,2258.0,1627.0,2113.0,1625.0,3175.0,2911.0,2648.0,3217.0,3519.0,3362.0,3435.0,3976.0,4255.0,3247.0,8799.0,9452.0,9112.0,10670.0,11179.0,11446.0,10610.0,11949.0,13220.0
61,Sivasagar,26299.0,30554.0,28919.0,24810.0,19625.0,21174.0,19681.0,18786.0,22556.0,23407.0,21612.0,19367.0,24161.0,22848.0,19526.0,20119.0,18298.0,18774.0,18773.0,20599.0,21320.0,22360.0,38428.0,41557.0,41032.0,46901.0,46940.0,44754.0,40538.0,43789.0,45627.0
62,Sonitpur,3996.0,3551.0,4562.0,5441.0,9138.0,7417.0,7551.0,9178.0,8723.0,7504.0,8045.0,6307.0,12284.0,9280.0,9250.0,12095.0,11999.0,12878.0,15521.0,15095.0,19022.0,17386.0,43710.0,48667.0,44336.0,55277.0,55802.0,57172.0,53900.0,60842.0,64255.0
63,Tinsukia,13980.0,16169.0,16118.0,17128.0,16456.0,18070.0,18606.0,16811.0,18245.0,20244.0,19775.0,21033.0,22324.0,25071.0,22843.0,25730.0,28112.0,35057.0,30560.0,35238.0,39822.0,38591.0,64891.0,71204.0,58731.0,64055.0,61819.0,64368.0,74611.0,67274.0,71682.0
64,Udalguri,2531.0,1614.0,1753.0,2293.0,4023.0,2911.0,3875.0,4377.0,3804.0,2425.0,3115.0,2214.0,5332.0,3796.0,3031.0,4851.0,5335.0,4646.0,7321.0,6846.0,8039.0,5997.0,19422.0,21600.0,20431.0,23069.0,23042.0,23444.0,22209.0,23998.0,24330.0
65,Araria,437.0,691.0,736.0,1111.0,1427.0,1913.0,1793.0,1670.0,2247.0,2597.0,2932.0,1844.0,2683.0,2021.0,1922.0,4385.0,5416.0,5984.0,5238.0,5396.0,3769.0,6205.0,24697.0,29858.0,31692.0,37774.0,39918.0,44936.0,49570.0,49884.0,49042.0
66,Arwal,0.0,0.0,15.0,0.0,27.0,0.0,106.0,64.0,108.0,82.0,70.0,170.0,103.0,72.0,48.0,84.0,56.0,190.0,221.0,285.0,174.0,803.0,6618.0,8250.0,9020.0,10734.0,11326.0,13569.0,15535.0,16234.0,16691.0
67,Aurangabad,1208.0,1760.0,1856.0,2549.0,1925.0,1983.0,2937.0,1945.0,2919.0,2792.0,3618.0,2759.0,3688.0,3130.0,2352.0,2648.0,2334.0,2960.0,3778.0,4456.0,5490.0,7646.0,35333.0,40913.0,42986.0,51789.0,54337.0,62964.0,67680.0,69903.0,74067.0
68,Banka,27.0,404.0,288.0,641.0,1243.0,1005.0,1037.0,989.0,1483.0,1326.0,2024.0,754.0,1178.0,1697.0,1722.0,2356.0,2034.0,1597.0,1052.0,1148.0,2263.0,2205.0,24023.0,30601.0,32001.0,36614.0,40240.0,46701.0,50520.0,48283.0,46849.0
69,Begusarai,4750.0,6380.0,5668.0,6367.0,7037.0,6202.0,7593.0,6935.0,8184.0,8444.0,9686.0,8785.0,8420.0,9743.0,8542.0,8554.0,8847.0,8487.0,8987.0,8972.0,9790.0,13913.0,27567.0,29337.0,30122.0,36351.0,38175.0,45365.0,50877.0,52648.0,53189.0
70,Bhagalpur,5017.0,7255.0,6379.0,7892.0,9978.0,8718.0,8948.0,8333.0,10767.0,11378.0,12702.0,8473.0,9767.0,12091.0,9557.0,12233.0,12557.0,13804.0,12442.0,13347.0,14112.0,15628.0,34230.0,38618.0,38831.0,43871.0,45853.0,54422.0,61755.0,62175.0,65309.0
71,Bhojpur,425.0,804.0,835.0,1391.0,1495.0,1464.0,1990.0,1806.0,2593.0,2628.0,2411.0,3089.0,3159.0,2811.0,3772.0,3184.0,2920.0,3209.0,3949.0,3239.0,3606.0,5996.0,24956.0,29831.0,32112.0,40109.0,44659.0,52071.0,54303.0,56402.0,59294.0
72,Buxar,697.0,1353.0,1169.0,1825.0,1396.0,1817.0,2481.0,1571.0,2134.0,2508.0,2329.0,2609.0,2681.0,1969.0,2098.0,2252.0,1776.0,2580.0,4244.0,3033.0,2899.0,4325.0,17975.0,19851.0,20344.0,24092.0,26475.0,33522.0,34203.0,36180.0,39261.0
73,Darbhanga,922.0,1494.0,1501.0,2435.0,3945.0,2852.0,4434.0,4175.0,5614.0,5250.0,6356.0,4595.0,4748.0,5351.0,5467.0,5293.0,6486.0,4717.0,6555.0,5525.0,5621.0,10299.0,25349.0,28746.0,29591.0,34640.0,36082.0,43992.0,49411.0,52555.0,54140.0
74,Gaya,4470.0,5084.0,4610.0,5995.0,5255.0,4804.0,6130.0,4578.0,6410.0,6478.0,7414.0,6263.0,8009.0,7534.0,5905.0,7166.0,6384.0,8755.0,10019.0,9691.0,10993.0,17176.0,56462.0,66433.0,69741.0,80556.0,83351.0,100052.0,108405.0,111684.0,113084.0
75,Gopalganj,599.0,1563.0,1317.0,2771.0,2705.0,2652.0,5097.0,2368.0,4225.0,4519.0,4618.0,5833.0,4707.0,5749.0,6137.0,4999.0,3788.0,4916.0,9137.0,5567.0,5331.0,9266.0,20643.0,22413.0,25524.0,36173.0,42031.0,47447.0,49675.0,48529.0,47717.0
76,Jamui,166.0,480.0,402.0,997.0,1043.0,632.0,880.0,1194.0,1842.0,1440.0,1820.0,1134.0,1158.0,1102.0,716.0,817.0,1163.0,892.0,1094.0,839.0,1243.0,1222.0,23749.0,26199.0,24748.0,33632.0,37058.0,43377.0,47206.0,48973.0,49835.0
77,Jehanabad,321.0,341.0,407.0,1056.0,952.0,714.0,857.0,679.0,1201.0,1241.0,1568.0,871.0,1195.0,1186.0,934.0,867.0,1448.0,2371.0,2846.0,1497.0,1331.0,4420.0,11932.0,15047.0,16602.0,18826.0,20324.0,27647.0,31340.0,31741.0,32973.0
78,Kaimur,2891.0,4163.0,3841.0,3191.0,3089.0,3351.0,4682.0,4146.0,5146.0,4326.0,5309.0,5582.0,7742.0,6024.0,5045.0,4772.0,4368.0,3729.0,7996.0,5050.0,5375.0,4677.0,25985.0,27584.0,28655.0,39883.0,47259.0,48392.0,41480.0,45223.0,52199.0
79,Katihar,1090.0,1560.0,1433.0,1682.0,2737.0,2856.0,3375.0,3010.0,4617.0,3570.0,4750.0,2717.0,4551.0,4578.0,3278.0,5401.0,5740.0,4040.0,3624.0,4493.0,4660.0,7293.0,27745.0,31410.0,30661.0,36582.0,39187.0,45668.0,48898.0,49786.0,51503.0
80,Khagaria,180.0,658.0,450.0,743.0,1382.0,1151.0,1538.0,1609.0,1770.0,1803.0,2075.0,1501.0,1200.0,1930.0,1004.0,1332.0,1638.0,1442.0,1225.0,1161.0,1660.0,2583.0,12225.0,14050.0,14705.0,18332.0,19675.0,21995.0,24225.0,25395.0,25399.0
81,Kishanganj,691.0,567.0,815.0,1024.0,1193.0,1424.0,1347.0,1467.0,1983.0,1858.0,1825.0,1513.0,1730.0,1982.0,1501.0,2560.0,3593.0,3904.0,3849.0,3833.0,4232.0,5167.0,18101.0,21507.0,21313.0,24241.0,24195.0,25407.0,27380.0,28828.0,30504.0
82,Lakhisarai,407.0,900.0,943.0,1561.0,1336.0,1007.0,1138.0,1183.0,1743.0,1605.0,2004.0,1427.0,1474.0,1471.0,883.0,1249.0,1356.0,1777.0,1672.0,1472.0,1304.0,1835.0,13208.0,14349.0,14723.0,17453.0,18685.0,21833.0,24802.0,26172.0,27359.0
83,Madhepura,334.0,540.0,426.0,631.0,1034.0,1037.0,1507.0,1584.0,1830.0,1491.0,2960.0,1417.0,2025.0,2412.0,2300.0,3455.0,3870.0,2009.0,2900.0,2626.0,2748.0,7914.0,19095.0,23030.0,27072.0,31664.0,34252.0,36117.0,38789.0,38645.0,38670.0
84,Madhubani,487.0,1173.0,1580.0,1642.0,3553.0,1599.0,3765.0,2983.0,4407.0,4492.0,5223.0,3396.0,4497.0,5113.0,5127.0,5812.0,8289.0,3917.0,8518.0,5607.0,6008.0,14419.0,33571.0,38327.0,39843.0,46891.0,49028.0,60149.0,69348.0,73197.0,73800.0
85,Munger,1225.0,1949.0,1497.0,2495.0,3894.0,2888.0,3048.0,3928.0,4527.0,4141.0,4881.0,3364.0,3769.0,4447.0,3470.0,4275.0,3539.0,3994.0,3428.0,3000.0,3063.0,3853.0,15020.0,17616.0,19466.0,20973.0,21301.0,23923.0,26363.0,27607.0,28407.0
